abb,rival,is_local,base_puntos,base_rebotes,base_asistencias,base_valoracion,base_puntos_encontra,base_rebotes_encontra,base_asistencias_encontra,base_valoracion_encontra,alero_puntos,alero_rebotes,alero_asistencias,alero_valoracion,alero_puntos_encontra,alero_rebotes_encontra,alero_asistencias_encontra,alero_valoracion_encontra,pivot_puntos,pivot_rebotes,pivot_asistencias,pivot_valoracion,pivot_puntos_encontra,pivot_rebotes_encontra,pivot_asistencias_encontra,pivot_valoracion_encontra
UNI,GIR,Local,31,4,10,34,43,7,7,37,28,7,3,17,13,8,1,11,31,18,8,48,17,12,2,10
UNI,COV,Visitante,21,2,9,25,11,5,11,19,21,15,8,25,38,12,1,26,42,21,5,47,19,6,2,15
UNI,HIO,Local,23,5,12,39,9,0,2,8,34,12,13,45,27,10,7,23,44,18,6,56,12,6,2,1
UNI,COR,Visitante,23,1,8,24,6,6,14,10,42,13,10,41,35,11,6,35,25,16,3,32,42,18,9,56
UNI,BAR,Local,24,4,11,28,16,8,17,34,47,8,4,53,35,10,3,31,32,17,2,31,45,11,2,36
UNI,BAX,Visitante,23,2,7,26,22,10,14,32,21,9,2,4,37,13,7,50,25,10,2,15,50,13,5,56
UNI,JOV,Visitante,19,1,9,18,11,9,6,17,20,7,5,21,44,15,5,34,40,22,5,42,20,12,6,33
UNI,MBA,Visitante,36,3,16,44,21,7,8,23,24,7,9,29,46,10,4,38,46,14,6,52,22,21,1,32
UNI,LLT,Local,16,3,13,24,16,1,8,7,41,15,4,47,29,14,5,35,27,10,2,23,36,13,5,45
UNI,RMB,Visitante,18,5,3,13,15,6,9,19,25,15,8,38,66,13,8,60,34,19,4,33,9,9,4,11
UNI,DGC,Local,49,6,9,55,18,4,2,22,23,9,4,10,35,8,10,27,16,15,3,18,41,19,7,49
VBC,Todos,Todas,28,7,12,34,19,4,8,17,35,11,4,36,34,10,6,30,32,20,5,38,31,16,3,38
VBC,Todos Local,Todas Local,27,7,12,32,24,3,10,20,37,10,4,37,31,10,4,24,32,20,6,41,24,15,2,32
VBC,Todos Visitante,Todas Visitante,29,7,13,35,16,6,7,16,34,12,4,34,37,10,7,36,32,19,4,36,36,16,4,43
VBC,BAX,Visitante,15,7,10,14,11,5,5,0,38,12,3,39,32,16,3,34,20,21,2,17,34,19,4,43
VBC,JOV,Local,17,6,9,19,16,2,7,8,36,12,8,38,18,4,3,1,31,23,3,37,26,22,2,39
VBC,BRE,Visitante,24,7,10,27,15,1,6,9,34,12,6,30,38,15,5,35,29,21,7,36,22,15,4,35
VBC,MBA,Local,31,7,6,32,21,4,10,26,28,8,6,23,49,9,4,44,30,26,6,35,18,16,3,26
VBC,SBB,Visitante,28,8,9,29,17,5,4,20,35,14,6,34,44,4,12,44,40,20,4,45,37,17,4,43
VBC,LLT,Local,19,8,12,18,30,3,11,29,37,4,2,36,29,8,1,28,40,19,8,59,22,11,1,27
VBC,CAZ,Local,29,8,14,42,15,3,7,11,57,15,3,61,32,16,10,28,25,16,8,29,39,14,3,40
VBC,BAR,Visitante,29,8,15,39,13,6,12,26,40,11,4,48,40,4,4,33,30,12,4,17,49,20,7,63
VBC,BKN,Visitante,37,6,23,56,23,9,8,32,32,12,2,36,42,9,9,35,47,21,3,58,26,13,4,22
VBC,GIR,Local,38,6,17,48,36,4,13,25,25,11,2,27,25,12,3,18,35,18,6,44,17,14,0,30
VBC,UCM,Visitante,43,8,11,45,15,7,5,6,28,8,3,20,24,9,9,32,25,18,4,41,47,13,3,51
